latitude;longitude;speed;date;;;;24/05/2018 Carlos
36.692705;-4.441436667;6.290420055;Thu May 24 13:55:37 GMT+02:00 2018;;;;
36.69244;-4.441561667;6.079898834;Thu May 24 13:55:32 GMT+02:00 2018;;;;
36.69214833;-4.441755;5.304727077;Thu May 24 13:55:26 GMT+02:00 2018;;;;
36.69187167;-4.441925;5.561573505;Thu May 24 13:55:20 GMT+02:00 2018;;;;
36.69166167;-4.442138333;5.500321865;Thu May 24 13:55:15 GMT+02:00 2018;;;;
36.69140167;-4.44233;5.489512444;Thu May 24 13:55:09 GMT+02:00 2018;;;;
36.691105;-4.442415;4.800814152;Thu May 24 13:55:02 GMT+02:00 2018;;;;
36.69083667;-4.44254;4.771989822;Thu May 24 13:54:56 GMT+02:00 2018;;;;
36.69055;-4.44266;4.313372135;Thu May 24 13:54:50 GMT+02:00 2018;;;;
36.690265;-4.442803333;5.485394955;Thu May 24 13:54:44 GMT+02:00 2018;;;;
36.68999167;-4.442951667;6.529251575;Thu May 24 13:54:39 GMT+02:00 2018;;;;
36.68970833;-4.443113333;6.150415897;Thu May 24 13:54:34 GMT+02:00 2018;;;;
36.68940833;-4.443128333;5.557456017;Thu May 24 13:54:27 GMT+02:00 2018;;;;
36.68916167;-4.443326667;6.654328823;Thu May 24 13:54:21 GMT+02:00 2018;;;;
36.68889833;-4.443438333;6.582782269;Thu May 24 13:54:16 GMT+02:00 2018;;;;
36.68862667;-4.44361;7.365160465;Thu May 24 13:54:11 GMT+02:00 2018;;;;
36.68836333;-4.443845;7.88039732;Thu May 24 13:54:06 GMT+02:00 2018;;;;
36.68810833;-4.44397;6.5277071;Thu May 24 13:54:02 GMT+02:00 2018;;;;
36.68783667;-4.444108333;6.301743984;Thu May 24 13:53:57 GMT+02:00 2018;;;;
36.687575;-4.444248333;6.002175808;Thu May 24 13:53:52 GMT+02:00 2018;;;;
36.68730833;-4.444403333;6.926102161;Thu May 24 13:53:47 GMT+02:00 2018;;;;
36.68702333;-4.444568333;6.719183922;Thu May 24 13:53:42 GMT+02:00 2018;;;;
36.68674;-4.444718333;6.07423687;Thu May 24 13:53:37 GMT+02:00 2018;;;;
36.68647833;-4.444855;6.707859993;Thu May 24 13:53:32 GMT+02:00 2018;;;;
36.68620833;-4.44501;6.617269039;Thu May 24 13:53:27 GMT+02:00 2018;;;;
36.68593333;-4.44515;6.237918377;Thu May 24 13:53:22 GMT+02:00 2018;;;;
36.685655;-4.445318333;6.365055084;Thu May 24 13:53:17 GMT+02:00 2018;;;;
36.68539333;-4.445476667;6.59616518;Thu May 24 13:53:12 GMT+02:00 2018;;;;
36.68511167;-4.445666667;6.685212135;Thu May 24 13:53:07 GMT+02:00 2018;;;;
36.684825;-4.445863333;6.465425968;Thu May 24 13:53:02 GMT+02:00 2018;;;;
36.68455167;-4.446023333;6.110267639;Thu May 24 13:52:57 GMT+02:00 2018;;;;
36.68423667;-4.445995;5.210018158;Thu May 24 13:52:51 GMT+02:00 2018;;;;
36.68398333;-4.446191667;5.522969246;Thu May 24 13:52:45 GMT+02:00 2018;;;;
36.68373333;-4.446396667;5.713931561;Thu May 24 13:52:39 GMT+02:00 2018;;;;
36.683465;-4.446546667;6.192108154;Thu May 24 13:52:34 GMT+02:00 2018;;;;
36.68318333;-4.446683333;6.577635288;Thu May 24 13:52:29 GMT+02:00 2018;;;;
36.68289;-4.446833333;6.550354958;Thu May 24 13:52:24 GMT+02:00 2018;;;;
36.682595;-4.447018333;6.232771397;Thu May 24 13:52:19 GMT+02:00 2018;;;;
36.68231667;-4.447186667;6.691389084;Thu May 24 13:52:14 GMT+02:00 2018;;;;
36.682045;-4.44735;6.773229599;Thu May 24 13:52:09 GMT+02:00 2018;;;;
36.68178333;-4.447525;6.173578262;Thu May 24 13:52:04 GMT+02:00 2018;;;;
36.68152667;-4.44768;6.165342808;Thu May 24 13:51:59 GMT+02:00 2018;;;;
36.68126167;-4.447828333;5.85239172;Thu May 24 13:51:54 GMT+02:00 2018;;;;
36.68100667;-4.447976667;4.78485775;Thu May 24 13:51:48 GMT+02:00 2018;;;;
36.68073167;-4.448153333;2.779500008;Thu May 24 13:50:24 GMT+02:00 2018;;;;
36.68044833;-4.448143333;4.266017914;Thu May 24 13:50:16 GMT+02:00 2018;;;;
36.68014333;-4.448125;4.545511723;Thu May 24 13:50:07 GMT+02:00 2018;;;;
36.68003833;-4.448438333;4.345284939;Thu May 24 13:50:00 GMT+02:00 2018;;;;
36.67999333;-4.448771667;3.657616138;Thu May 24 13:49:53 GMT+02:00 2018;;;;
36.67978333;-4.448995;5.345904827;Thu May 24 13:49:45 GMT+02:00 2018;;;;
36.67957833;-4.44922;5.215680122;Thu May 24 13:49:40 GMT+02:00 2018;;;;
36.67934667;-4.449451667;5.665547371;Thu May 24 13:49:34 GMT+02:00 2018;;;;
36.67906;-4.449603333;5.278476238;Thu May 24 13:49:28 GMT+02:00 2018;;;;
36.678775;-4.449746667;5.016997337;Thu May 24 13:49:22 GMT+02:00 2018;;;;
36.678515;-4.449898333;5.208988667;Thu May 24 13:49:16 GMT+02:00 2018;;;;
36.67824667;-4.450028333;4.817800045;Thu May 24 13:49:10 GMT+02:00 2018;;;;
36.67797833;-4.4502;3.89902091;Thu May 24 13:49:03 GMT+02:00 2018;;;;
36.67781167;-4.450496667;4.525952339;Thu May 24 13:48:52 GMT+02:00 2018;;;;
36.67792833;-4.450815;4.452347279;Thu May 24 13:48:45 GMT+02:00 2018;;;;
36.67804833;-4.451136667;5.224430561;Thu May 24 13:48:38 GMT+02:00 2018;;;;
36.67820667;-4.451428333;5.694886684;Thu May 24 13:48:32 GMT+02:00 2018;;;;
36.67834;-4.45174;5.409730434;Thu May 24 13:48:25 GMT+02:00 2018;;;;
36.67846833;-4.452093333;5.384509087;Thu May 24 13:48:19 GMT+02:00 2018;;;;
36.67859333;-4.452425;5.17964983;Thu May 24 13:48:13 GMT+02:00 2018;;;;
36.67872;-4.452725;5.224945068;Thu May 24 13:48:07 GMT+02:00 2018;;;;
36.6788;-4.453048333;4.960892677;Thu May 24 13:48:02 GMT+02:00 2018;;;;
36.67888333;-4.453368333;4.855374813;Thu May 24 13:47:56 GMT+02:00 2018;;;;
36.67897833;-4.453731667;5.210018158;Thu May 24 13:47:49 GMT+02:00 2018;;;;
36.67902333;-4.454088333;5.200753212;Thu May 24 13:47:43 GMT+02:00 2018;;;;
36.67908667;-4.45446;5.777757168;Thu May 24 13:47:37 GMT+02:00 2018;;;;
36.67914;-4.454793333;5.985189915;Thu May 24 13:47:32 GMT+02:00 2018;;;;
36.67919333;-4.455123333;6.14269495;Thu May 24 13:47:27 GMT+02:00 2018;;;;
36.6792;-4.455488333;5.549220085;Thu May 24 13:47:22 GMT+02:00 2018;;;;
36.67895;-4.455655;5.676356792;Thu May 24 13:47:16 GMT+02:00 2018;;;;
36.678785;-4.455958333;5.894598961;Thu May 24 13:47:11 GMT+02:00 2018;;;;
36.67871;-4.456316667;5.343331337;Thu May 24 13:47:04 GMT+02:00 2018;;;;
36.678755;-4.45667;5.405612946;Thu May 24 13:46:58 GMT+02:00 2018;;;;
36.67882167;-4.457035;5.654738426;Thu May 24 13:46:52 GMT+02:00 2018;;;;
36.67889;-4.457413333;5.539955139;Thu May 24 13:46:46 GMT+02:00 2018;;;;
36.678925;-4.45777;4.786916733;Thu May 24 13:46:40 GMT+02:00 2018;;;;
36.67902;-4.458093333;2.779500008;Thu May 24 13:45:53 GMT+02:00 2018;;;;
36.67907;-4.458433333;5.719593525;Thu May 24 13:45:46 GMT+02:00 2018;;;;
36.67908833;-4.458798333;5.814816952;Thu May 24 13:45:40 GMT+02:00 2018;;;;
36.67910667;-4.459186667;5.693857193;Thu May 24 13:45:34 GMT+02:00 2018;;;;
