latitude;longitude;speed;date;;;;;;;;;
36.69747572;-4.450467892;3.991072655;Thu May 03 09:32:25 GMT+02:00 2018;;;;;;;;;
36.69761728;-4.450795042;3.167705059;Thu May 03 09:32:19 GMT+02:00 2018;;;;;;;;;
36.69779077;-4.451074084;3.535786867;Thu May 03 09:32:12 GMT+02:00 2018;;;;;;;;;
36.69808314;-4.451071385;2.49146843;Thu May 03 09:32:02 GMT+02:00 2018;;;;;;;;;
36.69830898;-4.450867803;1.707386374;Thu May 03 09:31:55 GMT+02:00 2018;;;;;;;;;
36.69847977;-4.450581248;8.682693481;Thu May 03 09:31:28 GMT+02:00 2018;;;;;;;;;
36.69830775;-4.450296153;1.947788715;Thu May 03 09:28:24 GMT+02:00 2018;;;;;;;;;
36.69821999;-4.450662003;2.182550192;Thu May 03 09:28:19 GMT+02:00 2018;;;;;;;;;
36.69831671;-4.451044896;4.477962494;Thu May 03 09:27:14 GMT+02:00 2018;;;;;;;;;
36.69833797;-4.450657642;1.537405729;Thu May 03 09:27:00 GMT+02:00 2018;;;;;;;;;
36.69805058;-4.450583893;1.148104668;Thu May 03 09:26:56 GMT+02:00 2018;;;;;;;;;
36.69825242;-4.450336632;0.986469805;Thu May 03 09:26:53 GMT+02:00 2018;;;;;;;;;
36.69829507;-4.450738035;2.625499487;Thu May 03 09:26:27 GMT+02:00 2018;;;;;;;;;
36.69849588;-4.45033288;1.510423541;Thu May 03 09:26:05 GMT+02:00 2018;;;;;;;;;
36.69829592;-4.450570418;1.16591239;Thu May 03 09:22:51 GMT+02:00 2018;;;;;;;;;
36.69804677;-4.450735969;2.858268738;Thu May 03 09:17:10 GMT+02:00 2018;;;;;;;;;
36.69826945;-4.45093992;6.514659882;Thu May 03 09:15:58 GMT+02:00 2018;;;;;;;;;
36.69858944;-4.45081426;1.720022917;Thu May 03 09:14:54 GMT+02:00 2018;;;;;;;;;
36.69831999;-4.450785747;3.447353125;Thu May 03 09:13:18 GMT+02:00 2018;;;;;;;;;
36.69844968;-4.450483096;1.374493241;Thu May 03 09:13:09 GMT+02:00 2018;;;;;;;;;
36.69862925;-4.450165225;4.356371403;Thu May 03 09:13:07 GMT+02:00 2018;;;;;;;;;
36.69847297;-4.450558983;1.586674333;Thu May 03 09:01:03 GMT+02:00 2018;;;;;;;;;
36.69824405;-4.450348467;1.007948995;Thu May 03 09:00:38 GMT+02:00 2018;;;;;;;;;
36.69809818;-4.449980786;1.110817194;Thu May 03 09:00:26 GMT+02:00 2018;;;;;;;;;
36.69871003;-4.450015449;6.135792255;Thu May 03 08:59:52 GMT+02:00 2018;;;;;;;;;
36.69863175;-4.450492996;0.287311077;Thu May 03 08:59:50 GMT+02:00 2018;;;;;;;;;
36.69810169;-4.450394138;4.653989315;Thu May 03 08:48:35 GMT+02:00 2018;;;;;;;;;
36.69818264;-4.450839025;2.0239501;Thu May 03 08:44:26 GMT+02:00 2018;;;;;;;;;
36.69818794;-4.450488314;1.505386591;Thu May 03 08:30:46 GMT+02:00 2018;;;;;;;;;
36.69825364;-4.450860668;0.899481058;Thu May 03 08:30:40 GMT+02:00 2018;;;;;;;;;
36.69859749;-4.450636024;0.468974561;Thu May 03 08:30:27 GMT+02:00 2018;;;;;;;;;
36.69837062;-4.450988742;3.805841923;Thu May 03 08:30:25 GMT+02:00 2018;;;;;;;;;
36.69814947;-4.450696783;1.624813437;Thu May 03 08:20:45 GMT+02:00 2018;;;;;;;;;
36.6984055;-4.450566653;1.545276761;Thu May 03 07:46:45 GMT+02:00 2018;;;;;;;;;
36.69817924;-4.450180387;2.169091702;Thu May 03 07:46:44 GMT+02:00 2018;;;;;;;;;
36.69846653;-4.450338027;0.519986928;Thu May 03 07:43:46 GMT+02:00 2018;;;;;;;;;
36.69827226;-4.450589146;0.197223261;Thu May 03 07:26:12 GMT+02:00 2018;;;;;;;;;
36.69856645;-4.45051922;1.710673451;Thu May 03 07:25:45 GMT+02:00 2018;;;;;;;;;
36.69886277;-4.450598767;1.453333497;Thu May 03 07:25:43 GMT+02:00 2018;;;;;;;;;
36.69847211;-4.450505317;1.274916649;Thu May 03 07:25:40 GMT+02:00 2018;;;;;;;;;
36.69795657;-4.450901026;1.679655552;Thu May 03 07:25:08 GMT+02:00 2018;;;;;;;;;
36.69837925;-4.450785777;1.914536834;Thu May 03 06:23:58 GMT+02:00 2018;;;;;;;;;
36.69828507;-4.450442206;1.209914088;Thu May 03 00:52:15 GMT+02:00 2018;;;;;;;;;
36.69847337;-4.450738986;0;Thu May 03 00:18:22 GMT+02:00 2018;;;;;;;;;
36.69818223;-4.450690353;1.336527944;Wed May 02 23:40:03 GMT+02:00 2018;;;;;;;;;
36.69831296;-4.45038584;1.764219999;Wed May 02 23:31:16 GMT+02:00 2018;;;;;;;;;
36.69807739;-4.45057305;1.270551205;Wed May 02 23:30:32 GMT+02:00 2018;;;;;;;;;
36.69834793;-4.450476622;0.736849606;Wed May 02 23:28:39 GMT+02:00 2018;;;;;;;;;
36.69849273;-4.450171563;0.829145432;Wed May 02 23:27:31 GMT+02:00 2018;;;;;;;;;
36.69833339;-4.45044713;0.664845407;Wed May 02 23:26:15 GMT+02:00 2018;;;;;;;;;
36.69827031;-4.450778093;1.455370665;Wed May 02 23:25:49 GMT+02:00 2018;;;;;;;;;
36.69803611;-4.450608831;0.549719393;Wed May 02 23:25:40 GMT+02:00 2018;;;;;;;;;
36.69778905;-4.450441721;4.41236639;Wed May 02 23:25:32 GMT+02:00 2018;;;;;;;;;
36.6978365;-4.450894604;1.867229581;Wed May 02 23:25:27 GMT+02:00 2018;;;;;;;;;
36.69811695;-4.451115135;4.586582661;Wed May 02 23:25:20 GMT+02:00 2018;;;;;;;;;
36.69834969;-4.450921503;2.850654602;Wed May 02 23:25:19 GMT+02:00 2018;;;;;;;;;
36.69843995;-4.450416619;1.182240129;Wed May 02 23:20:09 GMT+02:00 2018;;;;;;;;;
36.69802326;-4.450939366;6.434720993;Wed May 02 23:20:07 GMT+02:00 2018;;;;;;;;;
