latitude;longitude;speed;date;incr. Lat. (m);incr. Lon. (m);ATAN2;Direccion;Cambio;;De M laga a C ceres en coche;
39.45070833;-6.38184333;18.959;Thu Jun 14 18:20:23 GMT+02:00 2018;34.81;-15.16;1.98141207;N;;;;
39.450395;-6.38166667;19.976;Thu Jun 14 18:20:21 GMT+02:00 2018;36.67;-17.45;2.01489918;N;;;;
39.450065;-6.38146333;20.494;Thu Jun 14 18:20:19 GMT+02:00 2018;37.96;-17.73;2.00774363;N;;;;
39.44972333;-6.38125667;21.294;Thu Jun 14 18:20:17 GMT+02:00 2018;37.96;-17.59;2.00467243;N;;;;
39.44938167;-6.38105167;21.28;Thu Jun 14 18:20:15 GMT+02:00 2018;38.70;-16.16;1.96630300;N;;;;
39.44903333;-6.38086333;21.164;Thu Jun 14 18:20:13 GMT+02:00 2018;38.52;-17.30;1.99298707;N;;;;
39.44868667;-6.38066167;20.739;Thu Jun 14 18:20:11 GMT+02:00 2018;39.26;-16.87;1.97673184;N;;;;
39.44833333;-6.380465;21.385;Thu Jun 14 18:20:09 GMT+02:00 2018;40.00;-17.59;1.98507366;N;;;;
39.44797333;-6.38026;21.336;Thu Jun 14 18:20:07 GMT+02:00 2018;39.44;-17.87;1.99627928;N;;;;
39.44761833;-6.38005167;20.853;Thu Jun 14 18:20:05 GMT+02:00 2018;39.44;-16.16;1.95962339;N;;;;
39.44726333;-6.37986333;19.826;Thu Jun 14 18:20:03 GMT+02:00 2018;38.33;-15.87;1.96338612;N;;;;
39.44691833;-6.37967833;17.302;Thu Jun 14 18:20:01 GMT+02:00 2018;34.26;-11.15;1.88555896;N;;;;
39.44661;-6.37954833;18.13;Thu Jun 14 18:19:59 GMT+02:00 2018;33.70;-9.15;1.83593926;N;;;;
39.44630667;-6.37944167;17.675;Thu Jun 14 18:19:57 GMT+02:00 2018;29.82;-12.16;1.95791867;N;;;;
39.44603833;-6.3793;15.421;Thu Jun 14 18:19:55 GMT+02:00 2018;37.22;-24.17;2.14667444;N;;;;
39.44570333;-6.37901833;13.379;Thu Jun 14 18:19:52 GMT+02:00 2018;33.52;-6.01;1.74810994;N;;;;
39.44540167;-6.37894833;11.951;Thu Jun 14 18:19:49 GMT+02:00 2018;30.37;16.30;1.07815689;N;;;;
39.44512833;-6.37913833;12.232;Thu Jun 14 18:19:46 GMT+02:00 2018;26.67;24.45;0.82865149;N;;;;
